Company ID,cluster,region,macro
3,2,Friuli-Venezia Giulia,North
4,1,Puglia,South
5,2,Toscana,Centre
6,1,Liguria,North
9,1,Puglia,South
10,0,Lazio,Centre
12,2,Campania,South
13,3,Lombardia,North
14,2,Lombardia,North
16,1,Sicilia,Islands
18,0,Veneto,North
20,1,Emilia-Romagna,North
23,0,Lazio,Centre
25,0,Sicilia,Islands
27,1,Lazio,Centre
29,1,Piemonte,North
30,0,Marche,Centre
31,0,Molise,South
32,1,Veneto,North
33,0,Veneto,North
35,2,Lombardia,North
37,2,Veneto,North
39,3,Veneto,North
41,3,Lombardia,North
43,3,Trentino-Alto Adige,North
44,0,Lombardia,North
47,1,Campania,South
48,1,Lombardia,North
50,0,Lazio,Centre
52,1,Emilia-Romagna,North
55,1,Campania,South
56,0,Lombardia,North
58,0,Puglia,South
59,0,Piemonte,North
61,0,Campania,South
62,1,Sicilia,Islands
67,0,Lombardia,North
70,3,Friuli-Venezia Giulia,North
72,2,Lombardia,North
76,0,Lombardia,North
77,0,Emilia-Romagna,North
80,2,Veneto,North
82,3,Abruzzo,South
83,0,Sardegna,Islands
84,0,Lazio,Centre
85,0,Campania,South
86,4,Campania,South
87,2,Puglia,South
90,1,Sardegna,Islands
93,3,Lombardia,North
95,1,Sicilia,Islands
97,0,Toscana,Centre
98,1,Campania,South
100,4,Lazio,Centre
102,2,Veneto,North
103,0,Lombardia,North
108,3,Piemonte,North
110,2,Emilia-Romagna,North
111,2,Sicilia,Islands
113,1,Sardegna,Islands
114,0,Lombardia,North
115,1,Piemonte,North
116,3,Campania,South
117,4,Lombardia,North
118,0,Sicilia,Islands
119,3,Marche,Centre
123,0,Sicilia,Islands
126,0,Sicilia,Islands
127,3,Campania,South
129,3,Trentino-Alto Adige,North
130,0,Campania,South
131,1,Lombardia,North
132,3,Lombardia,North
134,2,Emilia-Romagna,North
135,1,Emilia-Romagna,North
136,2,Lombardia,North
137,1,Sardegna,Islands
139,0,Lombardia,North
142,0,Lombardia,North
143,0,Piemonte,North
144,1,Lombardia,North
145,0,Toscana,Centre
146,2,Lazio,Centre
147,4,Lombardia,North
149,3,Toscana,Centre
152,2,Liguria,North
155,1,Emilia-Romagna,North
156,0,Friuli-Venezia Giulia,North
158,2,Campania,South
159,0,Sardegna,Islands
162,0,Veneto,North
164,0,Lombardia,North
166,2,Emilia-Romagna,North
168,0,Lazio,Centre
169,0,Veneto,North
171,1,Campania,South
172,1,Piemonte,North
175,1,Lombardia,North
176,1,Abruzzo,South
179,2,Veneto,North
180,0,Abruzzo,South
182,1,Campania,South
183,0,Piemonte,North
185,0,Campania,South
186,0,Veneto,North
189,1,Lombardia,North
192,3,Veneto,North
196,3,Marche,Centre
197,2,Veneto,North
199,0,Puglia,South
203,2,Lombardia,North
204,0,Lazio,Centre
207,2,Piemonte,North
208,1,Veneto,North
209,0,Piemonte,North
211,0,Emilia-Romagna,North
212,0,Lombardia,North
213,2,Basilicata,South
214,0,Sicilia,Islands
215,3,Veneto,North
216,1,Emilia-Romagna,North
217,4,Abruzzo,South
218,3,Piemonte,North
219,3,Piemonte,North
220,0,Lombardia,North
221,3,Abruzzo,South
222,3,Lombardia,North
224,0,Piemonte,North
225,2,Umbria,Centre
227,1,Lombardia,North
228,3,Veneto,North
229,0,Puglia,South
232,0,Piemonte,North
233,2,Lombardia,North
236,1,Lombardia,North
238,3,Lombardia,North
239,0,Piemonte,North
240,2,Lombardia,North
241,2,Campania,South
243,3,Campania,South
244,1,Lazio,Centre
245,3,Campania,South
249,0,Trentino-Alto Adige,North
252,1,Marche,Centre
256,1,Campania,South
258,0,Piemonte,North
261,0,Veneto,North
264,4,Emilia-Romagna,North
266,0,Emilia-Romagna,North
268,3,Lombardia,North
270,1,Emilia-Romagna,North
273,1,Veneto,North
275,1,Lombardia,North
277,0,Veneto,North
278,3,Lombardia,North
279,0,Puglia,South
281,1,Lombardia,North
283,1,Lazio,Centre
284,2,Trentino-Alto Adige,North
285,3,Campania,South
288,0,Emilia-Romagna,North
289,3,Lombardia,North
290,3,Lombardia,North
292,2,Sardegna,Islands
293,4,Puglia,South
294,0,Lombardia,North
295,0,Trentino-Alto Adige,North
296,2,Lombardia,North
298,0,Puglia,South
299,3,Lombardia,North
301,3,Marche,Centre
302,3,Marche,Centre
303,2,Toscana,Centre
304,3,Toscana,Centre
307,3,Lombardia,North
309,3,Lombardia,North
311,0,Lazio,Centre
312,3,Emilia-Romagna,North
313,1,Lazio,Centre
316,1,Veneto,North
317,2,Emilia-Romagna,North
318,2,Lombardia,North
321,0,Veneto,North
322,1,Calabria,South
324,1,Lazio,Centre
326,4,Lazio,Centre
327,1,Lombardia,North
329,2,Lombardia,North
330,0,Lazio,Centre
331,0,Trentino-Alto Adige,North
332,2,Lombardia,North
333,3,Trentino-Alto Adige,North
335,1,Lombardia,North
336,2,Piemonte,North
337,2,Toscana,Centre
340,1,Campania,South
343,0,Toscana,Centre
344,1,Lombardia,North
345,0,Lombardia,North
346,3,Emilia-Romagna,North
347,4,Puglia,South
348,1,Lombardia,North
349,0,Puglia,South
352,0,Lombardia,North
354,0,Lombardia,North
357,2,Piemonte,North
359,1,Lombardia,North
360,1,Friuli-Venezia Giulia,North
361,4,Lombardia,North
362,3,Lombardia,North
363,0,Campania,South
364,3,Lombardia,North
367,3,Puglia,South
371,4,Veneto,North
372,0,Lombardia,North
373,2,Emilia-Romagna,North
375,1,Lombardia,North
376,1,Lombardia,North
378,1,Lombardia,North
381,4,Piemonte,North
382,2,Liguria,North
385,3,Veneto,North
387,1,Campania,South
389,0,Lombardia,North
390,1,Lombardia,North
391,3,Lombardia,North
392,1,Veneto,North
396,0,Emilia-Romagna,North
397,2,Lazio,Centre
399,2,Marche,Centre
400,0,Lombardia,North
401,1,Friuli-Venezia Giulia,North
404,2,Lombardia,North
405,1,Liguria,North
406,3,Veneto,North
409,4,Lombardia,North
410,1,Lombardia,North
411,0,Veneto,North
412,1,Sicilia,Islands
416,2,Piemonte,North
417,2,Lombardia,North
419,0,Lombardia,North
420,2,Lombardia,North
422,2,Lombardia,North
424,0,Abruzzo,South
425,4,Piemonte,North
427,3,Marche,Centre
428,3,Lombardia,North
429,2,Piemonte,North
431,0,Toscana,Centre
432,3,Veneto,North
433,3,Lombardia,North
434,0,Lombardia,North
436,2,Emilia-Romagna,North
437,3,Piemonte,North
439,3,Veneto,North
440,2,Emilia-Romagna,North
444,2,Puglia,South
445,0,Emilia-Romagna,North
446,0,Campania,South
447,1,Emilia-Romagna,North
448,2,Lombardia,North
450,2,Veneto,North
452,1,Lombardia,North
453,1,Lombardia,North
456,1,Campania,South
457,2,Lazio,Centre
459,1,Toscana,Centre
461,0,Veneto,North
462,3,Veneto,North
463,0,Lombardia,North
465,0,Emilia-Romagna,North
466,0,Veneto,North
468,0,Veneto,North
469,1,Lazio,Centre
473,1,Lazio,Centre
474,0,Lazio,Centre
475,2,Campania,South
477,0,Veneto,North
478,1,Trentino-Alto Adige,North
479,3,Lombardia,North
481,2,Lombardia,North
482,1,Marche,Centre
483,2,Lazio,Centre
485,2,Campania,South
486,1,Lombardia,North
487,1,Toscana,Centre
488,1,Lombardia,North
489,2,Emilia-Romagna,North
491,2,Emilia-Romagna,North
493,2,Campania,South
494,1,Lombardia,North
495,3,Sicilia,Islands
497,1,Lombardia,North
500,1,Sicilia,Islands
502,0,Marche,Centre
503,2,Lombardia,North
504,0,Lombardia,North
505,0,Veneto,North
506,3,Lombardia,North
509,0,Umbria,Centre
510,0,Lombardia,North
512,0,Puglia,South
514,0,Veneto,North
517,4,Veneto,North
518,0,Lombardia,North
519,1,Emilia-Romagna,North
520,2,Marche,Centre
523,2,Puglia,South
524,1,Lombardia,North
525,4,Veneto,North
526,0,Lombardia,North
527,2,Emilia-Romagna,North
528,3,Toscana,Centre
531,3,Toscana,Centre
535,2,Lombardia,North
539,1,Toscana,Centre
542,1,Lazio,Centre
545,0,Emilia-Romagna,North
546,4,Lombardia,North
547,3,Veneto,North
548,3,Veneto,North
550,3,Veneto,North
551,1,Lazio,Centre
552,0,Lazio,Centre
554,0,Emilia-Romagna,North
555,3,Lombardia,North
556,1,Lombardia,North
558,3,Campania,South
561,1,Friuli-Venezia Giulia,North
562,3,Piemonte,North
563,0,Toscana,Centre
564,3,Liguria,North
565,3,Veneto,North
567,3,Lombardia,North
568,2,Lombardia,North
570,1,Veneto,North
572,1,Friuli-Venezia Giulia,North
573,3,Marche,Centre
574,0,Trentino-Alto Adige,North
575,0,Friuli-Venezia Giulia,North
577,3,Campania,South
578,1,Emilia-Romagna,North
580,0,Lombardia,North
583,0,Umbria,Centre
584,0,Basilicata,South
585,2,Umbria,Centre
586,1,Lazio,Centre
590,1,Emilia-Romagna,North
591,1,Lazio,Centre
592,4,Lombardia,North
593,4,Veneto,North
594,1,Sicilia,Islands
595,3,Lombardia,North
596,0,Veneto,North
597,0,Toscana,Centre
599,0,Emilia-Romagna,North
600,1,Umbria,Centre
601,1,Emilia-Romagna,North
604,0,Lombardia,North
606,3,Veneto,North
607,1,Lombardia,North
608,0,Veneto,North
609,3,Veneto,North
613,2,Puglia,South
616,2,Puglia,South
620,1,Lombardia,North
622,3,Lombardia,North
624,2,Emilia-Romagna,North
625,0,Veneto,North
626,1,Marche,Centre
627,1,Sardegna,Islands
628,0,Lombardia,North
630,0,Veneto,North
631,0,Sicilia,Islands
632,0,Puglia,South
634,1,Toscana,Centre
635,2,Puglia,South
636,1,Friuli-Venezia Giulia,North
637,3,Veneto,North
638,2,Friuli-Venezia Giulia,North
640,2,Piemonte,North
642,1,Veneto,North
643,3,Lombardia,North
644,4,Emilia-Romagna,North
645,1,Sardegna,Islands
646,1,Campania,South
651,0,Emilia-Romagna,North
653,2,Veneto,North
656,0,Toscana,Centre
657,1,Campania,South
658,1,Emilia-Romagna,North
659,3,Piemonte,North
660,0,Lombardia,North
661,1,Sicilia,Islands
662,3,Lombardia,North
663,3,Lombardia,North
664,2,Lombardia,North
666,2,Trentino-Alto Adige,North
673,3,Veneto,North
674,0,Veneto,North
675,2,Piemonte,North
676,0,Piemonte,North
677,0,Lazio,Centre
678,1,Lombardia,North
679,2,Lombardia,North
680,4,Piemonte,North
681,3,Abruzzo,South
682,2,Piemonte,North
683,2,Lombardia,North
686,3,Veneto,North
687,0,Piemonte,North
689,4,Emilia-Romagna,North
690,2,Lazio,Centre
691,2,Lombardia,North
692,3,Friuli-Venezia Giulia,North
693,3,Lombardia,North
694,3,Lombardia,North
695,1,Lombardia,North
696,3,Lombardia,North
697,1,Campania,South
698,2,Toscana,Centre
700,3,Emilia-Romagna,North
702,0,Lombardia,North
703,2,Veneto,North
704,0,Puglia,South
705,3,Piemonte,North
708,0,Veneto,North
709,1,Lombardia,North
714,0,Veneto,North
715,2,Lombardia,North
716,1,Sicilia,Islands
717,0,Liguria,North
718,0,Puglia,South
720,0,Sardegna,Islands
721,1,Friuli-Venezia Giulia,North
723,0,Sicilia,Islands
725,0,Trentino-Alto Adige,North
727,2,Lazio,Centre
728,2,Lombardia,North
729,3,Emilia-Romagna,North
731,3,Campania,South
732,0,Veneto,North
733,0,Emilia-Romagna,North
734,2,Lombardia,North
735,1,Veneto,North
739,4,Veneto,North
740,1,Lombardia,North
741,2,Veneto,North
742,0,Emilia-Romagna,North
744,3,Lombardia,North
745,0,Emilia-Romagna,North
746,2,Emilia-Romagna,North
748,2,Veneto,North
749,3,Lombardia,North
750,3,Lazio,Centre
751,0,Lombardia,North
752,3,Veneto,North
753,4,Emilia-Romagna,North
754,1,Emilia-Romagna,North
755,2,Emilia-Romagna,North
756,4,Lombardia,North
757,1,Lombardia,North
758,3,Emilia-Romagna,North
762,1,Lazio,Centre
764,0,Emilia-Romagna,North
767,3,Emilia-Romagna,North
769,1,Puglia,South
770,3,Toscana,Centre
771,1,Abruzzo,South
772,3,Lombardia,North
773,1,Lazio,Centre
778,1,Lazio,Centre
779,0,Lombardia,North
781,2,Toscana,Centre
782,3,Veneto,North
783,0,Piemonte,North
785,1,Lombardia,North
786,2,Lombardia,North
787,0,Veneto,North
789,3,Campania,South
790,1,Lombardia,North
791,1,Lombardia,North
792,0,Veneto,North
793,2,Lombardia,North
794,0,Trentino-Alto Adige,North
795,0,Lombardia,North
799,2,Campania,South
802,1,Calabria,South
803,0,Emilia-Romagna,North
804,1,Lazio,Centre
806,1,Lazio,Centre
807,4,Lombardia,North
808,0,Lombardia,North
809,1,Piemonte,North
812,0,Lombardia,North
813,2,Emilia-Romagna,North
814,3,Lombardia,North
815,3,Lazio,Centre
816,0,Toscana,Centre
817,0,Emilia-Romagna,North
819,0,Friuli-Venezia Giulia,North
821,2,Lombardia,North
822,1,Veneto,North
823,1,Lombardia,North
825,2,Lombardia,North
826,3,Emilia-Romagna,North
827,3,Veneto,North
829,1,Lombardia,North
831,2,Lombardia,North
836,3,Lombardia,North
837,0,Lombardia,North
838,0,Calabria,South
839,0,Veneto,North
841,0,Emilia-Romagna,North
843,1,Sardegna,Islands
844,1,Sardegna,Islands
847,0,Umbria,Centre
849,0,Lombardia,North
851,2,Lazio,Centre
852,0,Puglia,South
855,2,Lombardia,North
856,0,Trentino-Alto Adige,North
857,3,Campania,South
858,4,Piemonte,North
859,1,Lazio,Centre
862,2,Veneto,North
864,0,Toscana,Centre
865,2,Veneto,North
868,4,Liguria,North
871,2,Lazio,Centre
873,2,Veneto,North
876,3,Puglia,South
877,0,Toscana,Centre
880,3,Piemonte,North
882,3,Piemonte,North
883,0,Abruzzo,South
884,0,Lombardia,North
885,0,Emilia-Romagna,North
886,0,Lombardia,North
887,1,Toscana,Centre
888,0,Campania,South
889,2,Campania,South
892,0,Veneto,North
893,1,Puglia,South
894,0,Lazio,Centre
895,2,Lombardia,North
896,0,Lombardia,North
897,1,Marche,Centre
900,0,Lombardia,North
901,2,Toscana,Centre
902,0,Emilia-Romagna,North
904,1,Sicilia,Islands
905,1,Sardegna,Islands
906,1,Liguria,North
907,1,Lombardia,North
908,3,Lombardia,North
910,1,Emilia-Romagna,North
911,2,Marche,Centre
912,3,Marche,Centre
913,3,Lombardia,North
917,4,Lombardia,North
918,1,Piemonte,North
921,0,Molise,South
924,0,Lombardia,North
925,1,Piemonte,North
927,1,Lombardia,North
928,0,Veneto,North
930,2,Lombardia,North
933,0,Veneto,North
934,4,Lombardia,North
935,0,Lombardia,North
936,1,Lazio,Centre
938,3,Lazio,Centre
941,3,Lombardia,North
942,3,Marche,Centre
943,1,Veneto,North
944,2,Toscana,Centre
945,0,Lombardia,North
948,3,Veneto,North
949,0,Lazio,Centre
950,3,Lombardia,North
951,0,Veneto,North
952,0,Lazio,Centre
954,1,Toscana,Centre
956,3,Emilia-Romagna,North
957,0,Emilia-Romagna,North
959,0,Toscana,Centre
960,2,Veneto,North
961,0,Lombardia,North
962,1,Lombardia,North
963,3,Toscana,Centre
965,1,Campania,South
966,4,Lombardia,North
967,0,Sicilia,Islands
968,2,Toscana,Centre
969,1,Emilia-Romagna,North
970,2,Campania,South
971,1,Puglia,South
972,1,Lombardia,North
974,2,Campania,South
976,1,Abruzzo,South
977,0,Campania,South
980,2,Marche,Centre
983,0,Trentino-Alto Adige,North
984,1,Sardegna,Islands
986,1,Emilia-Romagna,North
987,2,Lombardia,North
989,3,Emilia-Romagna,North
990,0,Toscana,Centre
991,1,Lombardia,North
993,1,Emilia-Romagna,North
994,2,Lombardia,North
995,0,Sardegna,Islands
997,3,Lombardia,North
1000,2,Toscana,Centre
1001,2,Lombardia,North
1002,2,Lombardia,North
1004,3,Campania,South
1006,4,Lombardia,North
1007,1,Sardegna,Islands
1009,2,Marche,Centre
1010,1,Lazio,Centre
1011,0,Calabria,South
1012,1,Lazio,Centre
1013,2,Abruzzo,South
1014,4,Basilicata,South
1015,0,Toscana,Centre
1016,2,Valle d'Aosta,North
1018,3,Lazio,Centre
1019,2,Liguria,North
1020,1,Lazio,Centre
1021,3,Lombardia,North
1022,0,Piemonte,North
1024,0,Veneto,North
1025,2,Toscana,Centre
1026,4,Marche,Centre
1027,0,Trentino-Alto Adige,North
1028,1,Lazio,Centre
1034,3,Abruzzo,South
1035,3,Piemonte,North
1036,2,Veneto,North
1037,1,Lazio,Centre
1039,2,Lombardia,North
1040,3,Lombardia,North
1041,0,Emilia-Romagna,North
1045,4,Toscana,Centre
1046,0,Lazio,Centre
1048,0,Veneto,North
1050,1,Calabria,South
1052,2,Veneto,North
1054,3,Piemonte,North
1056,2,Liguria,North
1060,0,Toscana,Centre
1061,0,Emilia-Romagna,North
1063,2,Campania,South
1064,0,Piemonte,North
1065,0,Lazio,Centre
1066,1,Emilia-Romagna,North
1068,2,Veneto,North
1069,0,Puglia,South
1070,1,Puglia,South
1071,0,Calabria,South
1072,3,Liguria,North
1073,3,Toscana,Centre
1074,2,Toscana,Centre
1076,3,Emilia-Romagna,North
1077,2,Toscana,Centre
1078,3,Veneto,North
1080,3,Lombardia,North
1081,0,Puglia,South
1082,0,Lombardia,North
1083,2,Emilia-Romagna,North
1084,2,Lazio,Centre
1085,1,Lazio,Centre
1087,3,Emilia-Romagna,North
1088,0,Trentino-Alto Adige,North
1090,3,Toscana,Centre
1091,3,Toscana,Centre
1093,2,Lombardia,North
1094,0,Toscana,Centre
1095,0,Puglia,South
1097,4,Piemonte,North
1098,3,Lombardia,North
1100,2,Emilia-Romagna,North
1101,2,Toscana,Centre
1102,2,Lazio,Centre
1103,2,Campania,South
1106,0,Lombardia,North
1109,3,Piemonte,North
1110,1,Lombardia,North
1112,1,Lombardia,North
1116,0,Emilia-Romagna,North
1117,2,Veneto,North
1118,3,Trentino-Alto Adige,North
1119,2,Lombardia,North
1120,1,Marche,Centre
1121,0,Liguria,North
1122,0,Sicilia,Islands
1123,2,Lombardia,North
1126,3,Campania,South
1127,1,Toscana,Centre
1128,0,Lombardia,North
1129,2,Lombardia,North
1130,1,Emilia-Romagna,North
1134,3,Lazio,Centre
1136,2,Lazio,Centre
1138,4,Piemonte,North
1139,2,Campania,South
1142,0,Toscana,Centre
1143,1,Veneto,North
1145,1,Veneto,North
1146,3,Toscana,Centre
1147,3,Veneto,North
1148,1,Piemonte,North
1150,0,Friuli-Venezia Giulia,North
1152,3,Campania,South
1153,2,Lombardia,North
1155,1,Lombardia,North
1156,1,Lombardia,North
1157,1,Lombardia,North
1158,2,Marche,Centre
1159,4,Lombardia,North
1161,3,Lombardia,North
1162,0,Lombardia,North
1163,2,Veneto,North
1164,1,Campania,South
1168,0,Lazio,Centre
1169,3,Lombardia,North
1170,2,Campania,South
1171,2,Piemonte,North
